Date,BilledVolume,Rainfall,RainfallYesterday,RainfallTwoDaysAgo,RainfallThreeDaysAgo,RainfallTomorrow,MaxTemp,MaxTempYesterday,MaxTempTwoDaysAgo,MaxTempThreeDaysAgo,MaxTempTomorrow,month,weekend,MaxTemp_imp,Rainfall_imp,MaxTempYesterday_imp,RainfallYesterday_imp,MaxTempTwoDaysAgo_imp,RainfallTwoDaysAgo_imp,MaxTempThreeDaysAgo_imp,RainfallThreeDaysAgo_imp,MaxTempTomorrow_imp,RainfallTomorrow_imp
2015-01-28,471,0,0.020000000000000004,0.88,0.05,0,25.195,20.330000000000002,20.79,22.64,22.725,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-01-29,489,0,0,0.020000000000000004,0.88,0,22.725,25.195,20.330000000000002,20.79,21.625,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-01-30,492,0,0,0,0.020000000000000004,0,21.625,22.725,25.195,20.330000000000002,21.55,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-01-31,422,0,0,0,0,2.31,21.55,21.625,22.725,25.195,19.925,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-01,462,2.31,0,0,0,1.76,19.925,21.55,21.625,22.725,23.29,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-02,426,1.76,2.31,0,0,0,23.29,19.925,21.55,21.625,22.585,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-03,432,0,1.76,2.31,0,0,22.585,23.29,19.925,21.55,20.545,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-04,469,0,0,1.76,2.31,0.15000000000000002,20.545,22.585,23.29,19.925,27.965,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-05,456,0.15000000000000002,0,0,1.76,0,27.965,20.545,22.585,23.29,35.955,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-06,527,0,0.15000000000000002,0,0,0,35.955,27.965,20.545,22.585,34.01,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-07,589,0,0,0.15000000000000002,0,0,34.01,35.955,27.965,20.545,23.665,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-08,579,0,0,0,0.15000000000000002,0,23.665,34.01,35.955,27.965,28.16,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-09,523,0,0,0,0,0,28.16,23.665,34.01,35.955,32.81,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-10,534,0,0,0,0,0,32.81,28.16,23.665,34.01,35.24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-11,595,0,0,0,0,0,35.24,32.81,28.16,23.665,26.465,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-12,554,0,0,0,0,0,26.465,35.24,32.81,28.16,32.61,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-13,524,0,0,0,0,28.28,32.61,26.465,35.24,32.81,26.51,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-14,451,28.28,0,0,0,0.53,26.51,32.61,26.465,35.24,34.105000000000004,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-15,405,0.53,28.28,0,0,0,34.105000000000004,26.51,32.61,26.465,25.92,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-16,515,0,0.53,28.28,0,0,25.92,34.105000000000004,26.51,32.61,20.900000000000002,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-17,457,0,0,0.53,28.28,0,20.900000000000002,25.92,34.105000000000004,26.51,21.25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-18,415,0,0,0,0.53,0.86,21.25,20.900000000000002,25.92,34.105000000000004,30.94,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-19,419,0.86,0,0,0,0.020000000000000004,30.94,21.25,20.900000000000002,25.92,29.345,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-20,472,0.020000000000000004,0.86,0,0,0.05,29.345,30.94,21.25,20.900000000000002,36.765,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-21,488,0.05,0.020000000000000004,0.86,0,0,36.765,29.345,30.94,21.25,35.74,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-22,580,0,0.05,0.020000000000000004,0.86,0.2,35.74,36.765,29.345,30.94,30,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-23,577,0.2,0,0.05,0.020000000000000004,9,30,35.74,36.765,29.345,20.815,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-24,413,9,0.2,0,0.05,0,20.815,30,35.74,36.765,28.045,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-25,411,0,9,0.2,0,0,28.045,20.815,30,35.74,25.115000000000002,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
