Month,monthlyBulk,NonRes,Res,rainfallData,tempData,Connections,Potable TopUp,Filling Stations,Unmeter Fire,NonRev,BulkForecast,ResForecast,NonResForecast,NonRevPred,,,
Sep-21,11614,1808,8812,79.89,17.48333333,643037,144.2,11.66666667,15,823.1333333,12693.42089,9589.520722,1848.782464,1084.251041,,,
Oct-21,11736,1910,9039,130.58,18.76316667,643662,132.8,21,15,618.2,12735.94865,9648.873344,1861.432894,1056.842411,,,
Nov-21,12513,2120,9680,86.85,20.21633333,644279,144.4,25,15,528.6,13410.47936,10016.09485,1958.402841,1251.581675,,,
Dec-21,14141,2474,10628,16.69,25.07189655,644881,180.2,29,15,814.8,15193.3649,10775.50848,2281.780308,1911.876112,,,
Jan-22,17364,2939,12562,61.4,30.14806452,645209,255.4,18,15,1574.6,16234.88079,11522.60906,2478.192085,1945.679647,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Actual,Forecast,3 Year Average,,,
,,,,,,,,,,,May-21,1284.3,1106.159677,1087.633333,,,
,,,,,,,,,,,Jun-21,1208.233333,1052.913031,1497.233333,,,
,,,,,,,,,,,Jul-21,1111.5,1103.382073,1253.5,,,
,,,,,,,,,,,Aug-21,1021.533333,1127.293077,1337.866667,,,
,,,,,,,,,,,Sep-21,823.1333333,1084.251041,1337.466667,,,
,,,,,,,,,,,Oct-21,618.2,1056.842411,1280.2,,,
,,,,,,,,,,,Nov-21,528.6,1251.581675,1110.266667,,,
,,,,,,,,,,,Dec-21,814.8,1911.876112,1072.133333,,,
,,,,,,,,,,,Jan-22,1574.6,1945.679647,891.2666667,,,
